IndicatorName,IndicatorCode,Location,LocationCode,Year,Disaggregation,NumericValue,DisplayValue,Comments
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Afghanistan,AFG,2021,AGEGROUP_YEARS10-14,18,18,Afghanistan 2022-2023 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,African Region,AFR,2024,AGEGROUP_YEARS10-14,2.991,2.99,
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Albania,ALB,2022,AGEGROUP_YEARS10-14,0.209999993,0.2,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Andorra,AND,2020,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Antigua and Barbuda,ATG,2020,AGEGROUP_YEARS10-14,0.307976604,0.3,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Argentina,ARG,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Armenia,ARM,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Australia,AUS,2022,AGEGROUP_YEARS10-14,0.056439448,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Austria,AUT,2022,AGEGROUP_YEARS10-14,0.01,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Azerbaijan,AZE,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Bangladesh,BGD,2023,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Belarus,BLR,2018,AGEGROUP_YEARS10-14,0.029999999,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Belgium,BEL,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Belize,BLZ,2022,AGEGROUP_YEARS10-14,1.39174974,1.4,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Benin,BEN,2020,AGEGROUP_YEARS10-14,0.794526875,0.8,Benin 2021 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Bhutan,BTN,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Bosnia and Herzegovina,BIH,2022,AGEGROUP_YEARS10-14,0.107037857,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Botswana,BWA,2019,AGEGROUP_YEARS10-14,0.335395217,0.3,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Brazil,BRA,2022,AGEGROUP_YEARS10-14,2.008116245,2,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Brunei Darussalam,BRN,2022,AGEGROUP_YEARS10-14,0.265853047,0.3,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Bulgaria,BGR,2022,AGEGROUP_YEARS10-14,1.519999981,1.5,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Burkina Faso,BFA,2020,AGEGROUP_YEARS10-14,1.207878113,1.2,Burkina Faso 2021 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Burundi,BDI,2015,AGEGROUP_YEARS10-14,0.729082644,0.7,Burundi 2016 Demographic and Health Survey
